ORGANIZATION_ID,INVOICE_DATE,BALANCE_USD,PREV_BALANCE_USD
6939660352673145187,2024-04-24,-11713.091025298694,-6817.370812655659
3814312282202042508,2024-04-24,3002704.5170224635,108509.78946047393
-3854670627769831992,2024-04-24,7980.47847413196,4835.81990180799
3636504924316859495,2024-04-24,41776.63756032125,23270.45272640651
2645396122011766404,2024-04-24,4835331.98868524,34492.185435326304
8575622581585680007,2024-04-24,-265.90801179688424,-64588.628011796856
2790376296938310275,2024-04-24,-22311.44674997998,-11995.50012420537
4488035542182631936,2024-04-23,602060.8517506188,387654.8365661381
5490278380367739575,2024-04-23,7680329.8367827805,2895.164061225805
266283821570671916,2024-04-23,115732801.68853346,56347848.382198
-4916602735742484410,2024-04-23,-367.4602331895876,-78.98588347440091
3427964571473626810,2024-04-23,252851.6425182484,-99664.70450101048
-1283650411961228341,2024-04-23,522097.7400000002,53524.72000000003
5241749601223452025,2024-04-23,-27102.23135950789,-14988.95570077002
-2453663868610074151,2024-04-23,-39444.778464678675,-23215.87842464447
-5650542575290077012,2024-04-23,17335529.15120719,1716027.763210984
1006856227520959235,2024-04-23,-42400.91500081535,-24251.789221436484
7421223831146088861,2024-04-23,7020705.111055938,2729187.528332821
3182911453022492126,2024-04-23,15597.711200241232,989.3619953185553
-2741185719096766700,2024-04-23,78336.61490114778,50972.38605132373
6771307106724631817,2024-04-23,66428.44308881857,38496.42178984464
-2371370241773713882,2024-04-23,742094.0904097431,336405.4021651875
9088810746990399946,2024-04-22,1041221.5762034585,361441.9233920367
2999967847415169529,2024-04-22,2569907.75483042,77720.96120591811
4702289224783507412,2024-04-22,-3901894.188301273,-1187229.7885579914
7797749857555441449,2024-04-22,76869.9983986069,47233.15806962311
4622024237763388729,2024-04-22,9585612.320597654,150142.40420187032
-5793688857664361709,2024-04-22,124181.71999999997,72613.53
722217439733830836,2024-04-22,67049.63216652349,33357.374171947595
-4418174897691090647,2024-04-22,164628.14559589128,86498.3480374259
8562195169304544357,2024-04-21,64422539.69097601,38443764.36082066
5183561789888948322,2024-04-21,27630665.53423414,-22352.360523296753
-5021764504044941553,2024-04-21,12447.020741921384,7944.033751224575
5222931214607123007,2024-04-20,-92.12838613823988,1446.3040809129598
8156730738981521286,2024-04-19,674099765.4435222,429819002.5895414
4143319808909970612,2024-04-19,1346096.7224996313,718877.0307804439
8380602188430896570,2024-04-19,230728.70927718328,90138.8999999999
3677428967287362737,2024-04-19,-24387.93650791794,-14976.004533559084
-4566221489494012501,2024-04-19,20163.013399648713,12405.804114403203
-6356380122503043417,2024-04-19,730232917.18667,476787738.354187
-3776519513596928750,2024-04-19,21487.65891299362,5097.572326891495
-1535141638927402327,2024-04-19,-5175.174217821332,-380.85091402521357
6101219426706499004,2024-04-19,892991.8365111668,538965.1308422796
6491726632822271180,2024-04-18,2398261.0827575773,403390.18465875916
-7898616934037178019,2024-04-18,8075.753724733193,2419.409936189397
-3054812664428991661,2024-04-18,-10404.451331098797,-5441.1201724591665
6975511299079474723,2024-04-18,4207842141.1217837,2313227598.6153255
1157866138238508008,2024-04-18,10169488.274376083,4705895.797967069
1760567802662685152,2024-04-18,34327.59230368544,4440.552963950438
591237437881794018,2024-04-18,8455.427439309598,1888.8650656559912
